Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSDARG00000042000	si:ch211-63o20.7	20	34702410	34711528
ENSDARG00000010601	mtmr10	7	30725473	30771147
ENSDARG00000078474	MYO15A	1	8442071	8507230
ENSDARG00000057863	dnmt3bb.3	23	16961269	16981985
ENSDARG00000095894		16	31879167	31881623
ENSDARG00000013110	dmtn	10	20108557	20146544
ENSDARG00000097001		16	23017031	23019562
ENSDARG00000098228	thrap3b	19	3865210	3886991
ENSDARG00000059196		4	1958240	1974894
ENSDARG00000038967	cul3a	2	47644041	47681454
ENSDARG00000009372	diras1b	2	37059304	37059966
ENSDARG00000021811	calm3a	17	26713111	26721007
ENSDARG00000036064	cnep1r1	7	38258749	38264380
ENSDARG00000077040	RIN2	6	6822592	6845993
ENSDARG00000098934	rrp7a	3	1219344	1222249
ENSDARG00000095851		22	6587550	6601587
ENSDARG00000110915		8	13417986	13419049
ENSDARG00000005772	tsr2	8	8341082	8349653
ENSDARG00000103226	dhcr7	2	28648888	28682476
ENSDARG00000021590	magi2a	4	22755465	23083187
ENSDARG00000101190	cyp2k8	3	12784460	12802380
ENSDARG00000033950	lamb2l	23	20261570	20325731
ENSDARG00000097644		17	19513571	19527456
ENSDARG00000005271		16	3982590	4001743
ENSDARG00000094370	si:ch211-125e6.13	9	33220342	33221670
ENSDARG00000070755		16	7697878	7699207
ENSDARG00000021369	mc3r	8	28654289	28655338
ENSDARG00000100590		4	53095146	53109116
ENSDARG00000009748	dffb	8	22277198	22283112
ENSDARG00000096546	nrp2a	1	5606460	5746030
ENSDARG00000044264		6	9457966	9459440
ENSDARG00000002194	rhd	13	45496766	45523026
ENSDARG00000101222	lsm10	19	3840955	3846637
ENSDARG00000069199	zgc:172120	13	33342455	33362191
ENSDARG00000057869	cdc42l2	23	16956185	16960972
ENSDARG00000103024	zgc:175136	19	14109348	14112967
ENSDARG00000016811	ints3	19	26640096	26673855
ENSDARG00000006370	atp6v1h	2	30786773	30846927
ENSDARG00000089885	slc16a12b	12	16967715	16986968
ENSDARG00000068221	zmp:0000000729	2	37894849	37896965
ENSDARG00000075853		24	25794318	25903017
ENSDARG00000092299		16	36582486	36584785
ENSDARG00000093546	si:ch73-56d11.5	4	76775837	76785895
ENSDARG00000075560	KMT2C	2	12847602	13037544
ENSDARG00000098744		14	5690650	5711629
ENSDARG00000094958		10	28454500	28455171
ENSDARG00000092463	rhbdd2	10	35314564	35321625
ENSDARG00000035741	slc25a11	5	68076913	68093169
ENSDARG00000076530	jac6	7	8489333	8490886
ENSDARG00000070787	jupa	11	11719575	11781911
ENSDARG00000007024	uox	11	8160894	8168011
ENSDARG00000094709	arl8	7	41713920	41746427
ENSDARG00000069765	syngap1b	16	45456066	45691220
ENSDARG00000058503	flt3	24	21691939	21713883
ENSDARG00000062521	atp9b	19	22074468	22177248
ENSDARG00000020656	prkg1a	13	40815012	40955599
ENSDARG00000074815	mxra5a	1	33322174	33334732
ENSDARG00000067824		10	2175583	2393791
ENSDARG00000068894	nrip1b	10	38256556	38316134
ENSDARG00000090106	SLC17A7	24	38557989	38579066
ENSDARG00000088639	cdca9	12	22672323	22745783
ENSDARG00000069515	bbs10	18	7375923	7382059
ENSDARG00000022718	casp8ap2	20	23947004	23956014
ENSDARG00000105292		11	6069875	6074783
ENSDARG00000033144	psme2	12	13319132	13331980
ENSDARG00000070513	brpf3a	11	25712772	25734417
ENSDARG00000021021	trim35-28	16	26439518	26446321
ENSDARG00000077877		19	9771417	9776075
ENSDARG00000062995	si:dkey-14o18.2	19	9732084	9786914
ENSDARG00000014053	olfm1b	21	6751405	6813561
ENSDARG00000077560	grin2cb	12	31909346	32013125
ENSDARG00000086699	smim15	8	16726386	16730368
ENSDARG00000099448	sh3d21	16	35905031	35938157
ENSDARG00000086034	NECTIN1	18	42970208	43226503
ENSDARG00000043554	mrpl40	8	2530065	2535826
ENSDARG00000103494	usp43a	6	19481394	19665114
ENSDARG00000099174		4	52700533	52701516
ENSDARG00000104472	si:ch211-39i2.2	14	7724876	7744153
ENSDARG00000061191	plekho1a	19	42367286	42391390
ENSDARG00000025693	tmem9b	7	28556166	28568238
ENSDARG00000090676		21	31434308	31590859
ENSDARG00000068261	pros1	1	343292	354166
ENSDARG00000017294	gnai2b	6	53050166	53144336
ENSDARG00000012353	vipr2	24	27268001	27346951
ENSDARG00000007825	map2k1	18	19419120	19451165
ENSDARG00000095636		19	19984181	19984573
ENSDARG00000012586	fmnl2a	9	4730398	4856767
ENSDARG00000043643	ehbp1	17	24109012	24315315
ENSDARG00000034309	cox10	12	36891483	36960525
ENSDARG00000002285	mcoln1a	1	45671687	45700574
ENSDARG00000103358		6	39524924	39525505
ENSDARG00000015921	pwp1	4	1825839	1839352
ENSDARG00000091624	ugt2b6	5	9428876	9438370
ENSDARG00000102363		22	1291651	1294899
ENSDARG00000094538		21	18866976	18879623
ENSDARG00000062951	meak7	18	13236255	13245775
ENSDARG00000103224		19	8760795	8768564
ENSDARG00000007804	gas6	1	312784	338445
ENSDARG00000016439	slc7a1a	10	24445698	24493323
ENSDARG00000103659	bco1l	7	65240227	65252938
ENSDARG00000103245		13	45321119	45348291
ENSDARG00000060991	mief1	3	25136153	25148047
ENSDARG00000105505		16	7564527	7566095
ENSDARG00000014348	stk17b	9	24192370	24201159
ENSDARG00000045913	mrps10	4	325028	330748
ENSDARG00000058005	hgd	24	23959107	23975132
ENSDARG00000026753	grik4	15	22722682	23188894
ENSDARG00000012776	smarca1	5	21852714	21888368
ENSDARG00000061603	sorbs2b	14	29807097	29906209
ENSDARG00000038321	zgc:172053	9	33080438	33081978
ENSDARG00000043635	cmc2	18	29885190	29898369
ENSDARG00000016598	ckmt1	25	21829777	21847553
ENSDARG00000097499		11	7782514	7783314
ENSDARG00000101067		5	9297585	9332076
ENSDARG00000011605	dennd6b	4	20071128	20081621
ENSDARG00000075441	vwa2	12	30312308	30345444
ENSDARG00000017658	gmppb	22	39084107	39097217
ENSDARG00000045541	gcc1	4	20063279	20069493
ENSDARG00000078245	gal3st1b	10	1722125	1733937
ENSDARG00000101206	zgc:113363	8	7839208	7851590
ENSDARG00000105771		7	51904909	51905343
ENSDARG00000094442		24	14527935	14532069
ENSDARG00000087254		6	52864455	52867588
ENSDARG00000079805	tagln3a	5	67869785	67878064
ENSDARG00000093877	mfap4.8	1	59128019	59130695
ENSDARG00000006283	waslb	4	4079418	4111767
ENSDARG00000094232		18	19110047	19111751
ENSDARG00000076981	zgc:198329	16	11558868	11569729
ENSDARG00000107511	tgs1	2	27611956	27651674
ENSDARG00000094302		16	39000605	39005379
ENSDARG00000012297	CNGA3	1	10771457	10776547
ENSDARG00000043010	camk2d1	7	57725708	57880131
ENSDARG00000055416	serpinb1	20	26880668	26888698
ENSDARG00000007149	l1cama	23	28582865	28681775
ENSDARG00000095825		23	45887202	45897900
ENSDARG00000055429	KAT6B	13	24871050	24906307
ENSDARG00000003749	polb	8	2456854	2469761
ENSDARG00000101675	zgc:123107	4	76377227	76383262
ENSDARG00000089681	btf3l4	11	13024002	13055807
ENSDARG00000078578	fam222bb	15	16377263	16384184
ENSDARG00000078807	paxx	5	25084385	25087292
ENSDARG00000041602	mmadhca	22	12595144	12604606
ENSDARG00000103971		24	33439243	33461313
ENSDARG00000102264	trim35-22	3	7964606	7974028
ENSDARG00000058011	arxa	24	23936829	23942722
ENSDARG00000103979	calr3a	22	4762478	4769140
ENSDARG00000007842	MCHR2	16	32820327	32837806
ENSDARG00000027391	ccnd3	22	537717	547760
ENSDARG00000089217		25	7423770	7433666
ENSDARG00000045025	ift52	11	1533097	1546015
ENSDARG00000103663	ninj1	11	37105640	37120954
ENSDARG00000060854	kctd3	17	29345606	29370314
ENSDARG00000096843	zgc:193593	17	24917350	24919297
ENSDARG00000035852	cart3	7	52962632	52963493
ENSDARG00000114894		4	51026304	51045333
ENSDARG00000016721	sdha	19	7276060	7291733
ENSDARG00000099518	si:ch211-119e14.1	7	18606798	18617187
ENSDARG00000100524	abca3b	3	12593558	12699905
ENSDARG00000088318	ubap2a	21	11916788	11955313
ENSDARG00000102058	si:dkeyp-11e3.1	14	31751260	31755722
ENSDARG00000043986	setd6	25	17349265	17357165
ENSDARG00000043857	ufm1	10	25947946	25962058
ENSDARG00000038405	zgc:153921	3	1037946	1061723
ENSDARG00000099920	zgc:163040	7	5968225	5968991
ENSDARG00000079779	radil	1	7847787	7894255
ENSDARG00000096616		12	4677193	4683325
ENSDARG00000097637		3	24134418	24145250
ENSDARG00000079731	kif13ba	17	16192486	16283814
ENSDARG00000013207	zeb1b	12	26750274	26851726
ENSDARG00000100620	taok2b	12	3789114	3840664
ENSDARG00000114534		25	35113580	35113891
ENSDARG00000102543		4	55509070	55511278
ENSDARG00000004167	zgc:110366	2	7132281	7148449
ENSDARG00000094819		21	21562851	21564011
ENSDARG00000037097	slc7a2	14	30367602	30390145
ENSDARG00000011246	krr1	4	2258935	2265271
ENSDARG00000097292	slc26a6	8	26253252	26267110
ENSDARG00000102998	taf6	5	53580846	53765478
ENSDARG00000015998	wdhd1	17	15148797	15189502
ENSDARG00000073810	thbs2b	12	30653047	30681927
ENSDARG00000097906		17	15040992	15049378
ENSDARG00000018968	acvr1ba	23	27800519	27822920
ENSDARG00000057410	rxfp3	21	19487707	19489087
ENSDARG00000079219	mfn1b	11	44452233	44485762
ENSDARG00000058960	otol1b	15	1705167	1711472
ENSDARG00000100235		24	12128505	12129456
ENSDARG00000092892		8	22377770	22385850
ENSDARG00000099295		22	7439255	7442462
ENSDARG00000068820	h2az2a	5	13647288	13652687
ENSDARG00000043404	rpp21	22	15429099	15437242
ENSDARG00000076765	DDHD2	10	20503886	20524592
ENSDARG00000037545	mtnr1aa	1	18251335	18336878
ENSDARG00000097648	si:dkey-35i13.1	15	4632782	4635819
ENSDARG00000100666	EP300	12	18927065	18961491
ENSDARG00000068822	purba	5	13643167	13646054
ENSDARG00000095674	tmem123	18	37272568	37281166
ENSDARG00000078233	ctnnd1	1	44173245	44229065
ENSDARG00000003449	pde10a	13	4505079	4620715
ENSDARG00000053340		1	46238774	46244523
ENSDARG00000099065		7	47226092	47243579
ENSDARG00000087740		8	21030142	21043897
ENSDARG00000096913		6	42656722	42665345
ENSDARG00000055381	bambia	12	23424108	23430356
ENSDARG00000091215	rpz2	16	46401756	46415964
ENSDARG00000018270	olfm1a	5	64732036	64775757
ENSDARG00000088895		22	25715925	25717213
ENSDARG00000070600	dyrk3	11	21259356	21267486
ENSDARG00000006891	kcns3a	13	32575777	32577386
ENSDARG00000058801	REV3L	20	3346242	3403033
ENSDARG00000102256		4	55284199	55303279
ENSDARG00000077467	sox10	3	1492174	1501255
ENSDARG00000006849	asic2	3	37824268	38625940
ENSDARG00000113712		2	33747509	33750290
ENSDARG00000098644	si:ch211-126j24.1	22	38520209	38607504
ENSDARG00000032820	rxfp2a	10	33744098	33867426
ENSDARG00000019920	lft1	20	35073981	35076387
ENSDARG00000096850		25	2546343	2638817
ENSDARG00000021346	pdhb	22	10201826	10212502
ENSDARG00000037373	EPHB2	23	21803410	21946659
ENSDARG00000062919	tceanc2	2	10878406	10880549
ENSDARG00000008818	hsf1	19	3056450	3082268
ENSDARG00000042285	atp8b3	22	20473229	20515347
ENSDARG00000094450		5	55402072	55427758
ENSDARG00000078659	tmem176	1	44935442	44940953
ENSDARG00000055920	olfcq18	18	33685119	33689274
ENSDARG00000060338	trmt12	14	35414632	35422777
ENSDARG00000057039		21	21309164	21315773
ENSDARG00000090778	ttll1	4	77919987	77932570
ENSDARG00000002971	phc1	16	31942527	31960652
ENSDARG00000097089		3	25752221	25753549
ENSDARG00000074754	ifi27.6	13	37638758	37642901
ENSDARG00000032246	tmtopsb	24	26134029	26197398
ENSDARG00000098800	znf1156	22	1911269	1919599
ENSDARG00000099384		4	77735212	77745020
ENSDARG00000105375		7	3357973	3393353
ENSDARG00000100223	gpa33a	1	65705	71523
ENSDARG00000005057	dimt1l	8	17184602	17193041
ENSDARG00000077710	nlgn1	11	9564154	9985415
ENSDARG00000016085	mbnl3	14	30986754	31080183
ENSDARG00000092908		7	3229828	3241408
ENSDARG00000115889		2	36104569	36104634
ENSDARG00000113555		2	36107285	36107344
ENSDARG00000062811	p2ry10	14	10505464	10515967
ENSDARG00000038570		2	47942191	47943492
ENSDARG00000102408		2	36117657	36117719
ENSDARG00000070757	si:ch211-155i14.1	20	10723292	10730176
ENSDARG00000056625	trpc6a	21	22801257	22812449
ENSDARG00000040247	oxgr1a.3	1	2060430	2061419
ENSDARG00000008757	entpd6	17	21102301	21123575
ENSDARG00000096711	si:ch211-194k22.8	12	28839839	28848015
ENSDARG00000075141	gprc5bb	1	54673846	54680103
ENSDARG00000101540	fgf3	7	54605640	54609108
ENSDARG00000018726	slco3a1a	18	25073984	25177230
ENSDARG00000070839	evi5b	6	29011911	29086473
ENSDARG00000044053	vsnl1b	17	6715575	6759149
ENSDARG00000062457	las1l	5	22115250	22130937
ENSDARG00000098615		4	34853066	34857130
ENSDARG00000037941	syt5a	3	32142382	32151167
ENSDARG00000040186	fam210ab	16	30604387	30612730
ENSDARG00000086296	znf1137	4	44852270	44872722
ENSDARG00000079371	lrrc3ca	12	10599604	10609781
ENSDARG00000004158	tmem63c	17	44780166	44923661
ENSDARG00000098622	ccne1	7	46019780	46029879
ENSDARG00000103681		23	32194408	32201494
ENSDARG00000063258	rfx5	19	7482784	7495006
ENSDARG00000117156		4	44666809	44673017
ENSDARG00000025875	kctd2	12	26594013	26609347
ENSDARG00000023678	ercc5	1	474085	494280
ENSDARG00000005561	gfm2	5	34578479	34600710
ENSDARG00000061216	hexd	12	26611435	26620728
ENSDARG00000052103	dtymk	6	27104962	27108844
ENSDARG00000060639	apba2b	7	30787903	30915965
ENSDARG00000096700		12	20492884	20500329
ENSDARG00000092286		8	20937980	20940847
ENSDARG00000096761		12	32431703	32495213
ENSDARG00000058003	wfdc1	18	14595546	14617707
ENSDARG00000016584	rgs7a	17	19626479	19731406
ENSDARG00000095527		9	23383414	23388075
ENSDARG00000104314	nrg1	10	7284121	7472359
ENSDARG00000090914	si:ch211-117k10.3	11	38505157	38513978
ENSDARG00000094924		21	32464568	32527344
ENSDARG00000079484	KCNT1	21	4875473	4923427
ENSDARG00000018206	nck2a	9	6393368	6502491
ENSDARG00000055722	bco2a	5	30052714	30080332
ENSDARG00000099339	pacsin3	7	54222156	54308069
ENSDARG00000013871	slc5a1	10	17135631	17159761
ENSDARG00000035148	orai2	5	61556172	61571447
ENSDARG00000058354	selenot1a	2	9684305	9696283
ENSDARG00000104108	slco1d1	4	77389668	77432218
ENSDARG00000079823	kgd4	8	17163494	17167830
ENSDARG00000093060		2	15833553	15844036
ENSDARG00000052626		12	46188692	46204837
ENSDARG00000042332	plin2	15	17030473	17048822
ENSDARG00000022845	lias	1	23274710	23283468
ENSDARG00000037091	asah1a	14	30272891	30278408
ENSDARG00000059817	mtmr12	5	41105602	41124241
ENSDARG00000074772	ccl44	11	6182680	6188413
ENSDARG00000036903	irak1bp1	23	31245395	31248952
ENSDARG00000091860	zgc:194007	8	42712747	42724810
ENSDARG00000017220	otud7b	16	45930962	45982657
ENSDARG00000095230		22	25432849	25435548
ENSDARG00000029463	asap1a	2	32263215	32356539
ENSDARG00000069339	tbc1d24	24	39129316	39155099
ENSDARG00000018321	lbx1a	13	28305798	28308138
ENSDARG00000075593	trim71	16	7742658	7793457
ENSDARG00000092792	rprm3	23	32128399	32129614
ENSDARG00000086247	zgc:171781	22	25415980	25417132
ENSDARG00000096869		2	40623015	40712219
ENSDARG00000018618	cpsf6	4	2041067	2059302
ENSDARG00000019556	clcn7	3	27664864	27709312
ENSDARG00000013708	usp9	9	33261330	33321040
ENSDARG00000093313	ubb	5	42092227	42096331
ENSDARG00000075027		22	6962924	6968756
ENSDARG00000045131	id4	16	9977858	9980402
ENSDARG00000032653	sinhcaf	4	16631483	16644708
ENSDARG00000035890	fuca1.1	19	32495419	32500373
ENSDARG00000039390	sdhaf4	13	28264834	28265919
ENSDARG00000097528	si:dkey-7j14.5	16	43014417	43026273
ENSDARG00000094401		9	33247202	33251006
ENSDARG00000056015	hoxb13a	3	23654233	23655834
ENSDARG00000074363	TTC9	13	36144341	36153572
ENSDARG00000033604	lrpap1	1	41131481	41141446
ENSDARG00000079401	si:dkey-197c15.6	24	7820042	7826489
ENSDARG00000044574	rbms3	16	39643268	39900665
ENSDARG00000078348	tcf20	3	1260350	1283247
ENSDARG00000069627	si:ch211-255g12.8	8	6880262	6897619
ENSDARG00000060687	chd2	18	24933473	24989580
ENSDARG00000105457		11	8239982	8262105
ENSDARG00000039335	st6gal2a	9	6009077	6127872
ENSDARG00000096800		12	32199651	32265169
ENSDARG00000087529	zgc:85936	19	48060464	48069778
ENSDARG00000077872		15	21167142	21177049
ENSDARG00000033855	cnot9	22	12752286	12763350
ENSDARG00000021059	alas1	11	260763	270210
ENSDARG00000077469	polr1b	13	41917606	41940467
ENSDARG00000113800	si:dkey-108k21.19	25	35047454	35047838
ENSDARG00000035629	parvab	7	65673885	65706839
ENSDARG00000097384		20	30902538	30906628
ENSDARG00000093465		9	28685853	28687484
ENSDARG00000055833	lectin	9	33236844	33238249
ENSDARG00000056378	ifi30a	2	24762567	24767470
ENSDARG00000013856	amy2a	2	15612755	15626972
ENSDARG00000092501		25	16154688	16157776
ENSDARG00000070037	rgs8	6	35459369	35488180
ENSDARG00000045493	slc35e3	4	23117557	23122395
ENSDARG00000078093	zgc:172065	7	2236317	2242989
ENSDARG00000091136	zgc:174259	5	28848870	28851407
ENSDARG00000078042	il10rb	9	61770	68947
ENSDARG00000038882	smc4	15	1534644	1573129
ENSDARG00000102040		13	27785329	27804890
ENSDARG00000030097	sdcbp	7	58259455	58269812
ENSDARG00000097755		9	48740524	48755697
ENSDARG00000031463	SYT6	11	24620742	24664031
ENSDARG00000053135	tas1r2.1	8	46587593	46597751
ENSDARG00000062152	chaf1a	22	22276283	22301929
ENSDARG00000044751	ddt	21	15709061	15711765
ENSDARG00000102807	si:dkey-151p11.2	7	40963311	41012695
ENSDARG00000075528	lyrm9	15	30310843	30311953
ENSDARG00000105206	hmgcrb	21	2506013	2533249
ENSDARG00000093516		2	33272564	33281582
ENSDARG00000098082		11	45389377	45390076
ENSDARG00000062978	odad3	6	8250382	8264751
ENSDARG00000042623	acbd3	20	30702531	30721862
ENSDARG00000037002	zgc:152968	1	35985813	36002774
ENSDARG00000036066	si:dkey-78a14.4	7	38249858	38257848
ENSDARG00000104678		4	77092909	77108450
ENSDARG00000090822	qdprb.4	1	24376394	24380533
ENSDARG00000095015		10	8862521	8868895
ENSDARG00000093463		2	28599070	28599951
ENSDARG00000057273	alox5a	13	18128275	18174864
ENSDARG00000054454	epha4a	2	40067808	40136024
ENSDARG00000088836		4	43225728	43260960
ENSDARG00000037261	mtap	1	26110985	26127944
ENSDARG00000095913		22	36719821	36739092
ENSDARG00000092523		18	33550667	33553897
ENSDARG00000094281	si:ch73-196i15.3	8	20880848	20892051
ENSDARG00000061916	tmem51b	11	25833219	25853212
ENSDARG00000042319	cdca4	20	26939742	26946248
ENSDARG00000105112	ntn1a	6	19804048	19926657
ENSDARG00000101292		4	52959625	52967037
ENSDARG00000078297		24	7714014	7728409
ENSDARG00000001014	MYH9	3	5102656	5228841
ENSDARG00000031637	pan3	24	21720304	21748700
ENSDARG00000017111		19	32201991	32206819
ENSDARG00000068702	lysmd4	18	24562188	24572673
ENSDARG00000069763	etv5a	9	22631672	22649297
ENSDARG00000096951		15	29770611	29776205
ENSDARG00000042065	eef2a.2	22	20145036	20155026
ENSDARG00000011886	pdca	2	20882954	20890429
ENSDARG00000099520		4	1844336	1845156
ENSDARG00000057323	e2f8	7	16576246	16598212
ENSDARG00000033999	cyp26a1	12	8954761	8958353
ENSDARG00000097959	si:dkey-248g15.3	17	2549503	2555215
ENSDARG00000045612	lrrc10	25	28672539	28674739
ENSDARG00000017199	elp2	19	34691645	34742440
ENSDARG00000078970	il7r	21	22429509	22435957
ENSDARG00000078781	si:ch211-161c3.6	6	53373498	53391727
ENSDARG00000011613	rbm39a	11	24339362	24348715
ENSDARG00000000837	snx9a	17	33158294	33201840
ENSDARG00000088252	si:dkey-83f18.7	7	4572727	4575337
ENSDARG00000069563	zgc:153151	7	24172987	24181777
ENSDARG00000060041	lig1	2	44301276	44344321
ENSDARG00000086283	cnsta	17	12075805	12135470
ENSDARG00000030530	slc22a2	20	42668875	42688487
ENSDARG00000105567		7	29745906	29747262
ENSDARG00000091845		6	16870004	16871322
ENSDARG00000116830		6	16867518	16868834
ENSDARG00000006065	znf385b	9	43243212	43538328
ENSDARG00000040433	cyp2k22	3	8229466	8246315
ENSDARG00000007418	chmp4c	24	11070110	11076400
ENSDARG00000069503	cldn3c	21	25739295	25741411
ENSDARG00000044414	csmd1a	13	6342410	6582725
ENSDARG00000074902	nol4la	8	23252850	23328264
ENSDARG00000093432		19	34274504	34279173
ENSDARG00000102448		22	1377331	1384069
ENSDARG00000027065	slc38a3a	11	34824099	34914857
ENSDARG00000055813	mhc1lca	3	23471180	23474416
ENSDARG00000022085	si:dkey-34e4.1	5	33537789	33607062
ENSDARG00000005392	slc5a5	8	13364950	13382351
ENSDARG00000062955	dipk1aa	2	10642047	10687230
ENSDARG00000093885		18	29918062	29919105
ENSDARG00000097928	si:ch73-40a17.4	2	295899	299908
ENSDARG00000051921	slc30a5	5	54716670	54729578
ENSDARG00000095824		22	21933125	21937488
ENSDARG00000076834	lrrc75a	15	24691088	24738121
ENSDARG00000100582	si:ch211-195b11.3	14	38786258	38791884
ENSDARG00000101120	kif3b	23	7710447	7736719
ENSDARG00000062258	armc8	9	27876146	27901606
ENSDARG00000043198	si:rp71-1i20.2	22	6393227	6404910
ENSDARG00000054882		2	35615832	35621867
ENSDARG00000100085		1	54017703	54043788
ENSDARG00000096651	GPR108	1	59142783	59151058
ENSDARG00000046007	tmcc2	22	591809	600016
ENSDARG00000093244		24	38396572	38397488
ENSDARG00000039062	morn4	13	40746281	40754499
ENSDARG00000100995		4	52177103	52186922
ENSDARG00000051916	cdk7	5	52000163	52010213
ENSDARG00000101144	zdhhc13	7	16509201	16549089
ENSDARG00000094408	mfap4.11	1	59140583	59141838
ENSDARG00000021647	gnai1	4	22680442	22714063
ENSDARG00000096957		17	25188694	25197601
ENSDARG00000002682	tbcela	15	20940904	20956454
ENSDARG00000096095	buc	2	27855102	27859558
ENSDARG00000010002	gna11a	22	21852070	21897279
ENSDARG00000100825	calm3a	15	9234052	9272328
ENSDARG00000090473	si:ch211-269k10.5	16	53252951	53272341
ENSDARG00000055151	smyd2a	17	32745763	32779556
ENSDARG00000092137		2	35612621	35614293
ENSDARG00000042187	smek1	20	33467161	33487729
ENSDARG00000060785	pcnx4	13	31520537	31535508
ENSDARG00000070015		4	11401018	11404967
ENSDARG00000069834	pnpla4	1	32097179	32111924
